X,Y,OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1274610.65643799,227502.344029024,3480,518055,16,14603,76,-30,BKR-547,BKR,E PIKE ST 0120 BLOCK S SIDE (  50) 50 FT E/O 12TH AVE                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,2002/01/15 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/20 00:00:00+00,S,SDOT,INSVC,DISTRICT3, ,N,,-122.316527340415,47.6140236802485
1268946.5293282,245934.376879886,3481,518923,16,15630,200,-17,BKR-850,BKR,N 49TH ST 0131 BLOCK S SIDE ( 187) 52 FT W/O STONE WAY N                                                                                                                                                                                                       ,SGL,6,N,GALV,PCC,2007/08/13 00:00:00+00,SUFMT,NONE,BKR-CORA,BKR-W3606,GOOD,2009/07/30 00:00:00+00,S,SDOT,INSVC,DISTRICT4, ,N,,-122.340951133368,47.6642436082239
1270901.2390262,247561.761009559,3482,517765,16,11122,59,17,BKR-2560,BKR,KEYSTONE PL N 0550 BLOCK SW SIDE (  46) 46 FT NW/O N 55TH ST                                                                                                                                                                                                   ,SGL,8,N,GALV,PCC,2009/08/01 00:00:00+00,SUFMT,NONE,BKR-CORA,BKR-W4508,GOOD,2009/08/18 00:00:00+00,SW,SDOT,INSVC,DISTRICT6, ,N,,-122.333148629623,47.6688089090481
1280525.75372405,266434.174916878,3483,591424,16,16529,194,-17,BKR-3181,BKR,NE 127TH ST 0300 BLOCK S SIDE ( 181) 181 FT E/O 30TH AVE NE                                                                                                                                                                                                    ,CLSTR,6,N,GALV,PCC,2012/11/30 00:00:00+00,SUFMT, ,SDOT,BKR-INVRU,GOOD,2012/10/20 00:00:00+00,S,SDOT,INSVC,DISTRICT5, ,N,,-122.295548764949,47.7210454558043
1260581.34154363,248511.854578525,3484,606462,16,18495,375,17,BKR-3309,BKR,NW 58TH ST 0140 BLOCK S SIDE ( 362) 260 FT E/O 15TH AVE NW                                                                                                                                                                                                     ,SGL,10,N,GALV,AC,2013/11/30 00:00:00+00,SUFMT, , ,BKR-NCONF,GOOD,2014/07/01 00:00:00+00,S,SDOT,INSVC,DISTRICT6, ,N,,-122.375101951147,47.6708540097357
1273455.53445281,230077.159391657,3485,517447,16,14847,200.5,-19,BKR-294,BKR,E THOMAS ST 0080 BLOCK S SIDE ( 188) 115 FT W/O BROADWAY E                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,2006/10/20 00:00:00+00,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,,S,SDOT,INSVC,DISTRICT3, ,N,,-122.321411568393,47.6210200635602
1269754.33476903,223375.783832788,3486,517461,16,13496,306,34,BKR-744,BKR,WESTERN AVE 0079 BLOCK SW SIDE ( 276) 129 FT SE/O COLUMBIA ST                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,2009/03/18 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,,SW,SDOT,INSVC,DISTRICT7, ,N,,-122.335886133967,47.6024546341075
1276998.35237645,232062.473569691,3487,672875,16,2660,517,-24,BKR-3936,BKR,19TH AVE E 0070 BLOCK E SIDE ( 487) 43 FT S/O E ALOHA ST                                                                                                                                                                                                       ,SGL,2,N,GALV,AC/PCC,2017/08/09 00:00:00+00,SUFMT, , ,BKR-INVRU,GOOD,2017/08/21 00:00:00+00,E, ,INSVC,DISTRICT3, ,N,,-122.307202648613,47.6266486725229
1275180.36843859,195556.998268306,3488,691351,16,9884,35,-17,BKR-3964,BKR,DALLAS AVE S 0870 BLOCK SW SIDE (  22) 22 FT SE/O 17TH AVE S                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,2017/01/06 00:00:00+00,SUFMT, , ,BKR-INVRU,GOOD,2017/01/06 00:00:00+00,SW, ,INSVC,DISTRICT1, ,N,,-122.311729985071,47.5264920622102
1274177.70494956,244787.916718721,3489,695103,16,8308,25,17,BKR-4011,BKR,8TH AVE NE 0450 BLOCK W SIDE (  12) 12 FT  /O NE 45TH E ST                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,2018/03/08 00:00:00+00,SUFMT,NONE, ,BKR-INVRU,GOOD,2018/03/07 00:00:00+00,W,SDOT,INSVC,DISTRICT4, ,N,,-122.319635783143,47.6613801462234
1275690.2418471,231266.367968872,3490,518412,16,14487,39,-17,BKR-2824,BKR,E MERCER ST 0150 BLOCK S SIDE (  26) 26 FT E/O 15TH N AVE E                                                                                                                                                                                                    ,SGL,6,N,GALV,PCC,,SUFMT,NONE, ,BKR-NCONF,GOOD,2009/09/30 00:00:00+00,S,SDOT,INSVC,DISTRICT3, ,N,,-122.312444434072,47.6243977596843
1274785.97899818,248533.267634556,3491,518642,16,12608,73,24,BKR-227,BKR,ROOSEVELT WAY NE 0590 BLOCK W SIDE (  50) 50 FT N/O NE 59TH ST                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,2003/10/03 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/08/17 00:00:00+00,W,SDOT,INSVC,DISTRICT4, ,N,,-122.317460939217,47.67167823856
1263325.38813844,242874.527596757,3492,518664,16,7921,137,-17,BKR-948,BKR,6TH AVE NW 0390 BLOCK E SIDE ( 124) 124 FT N/O NW BOWDOIN PL                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,2007/12/05 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/31 00:00:00+00,E,SDOT,INSVC,DISTRICT6, ,N,,-122.363511769191,47.6555525750508
